"chw" "question" "score"
"89fda0284e008d2e0c980fb13f95d481" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f98a6d5" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f98317d" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9a7b0c" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9b3322" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f969126" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f95e9b4" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f980116" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f958239" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f95477d" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f97722c" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f97ae9f" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9a51a9" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9b3f75" "form.family_planning_group.counsel_disqualification" 0
"fcd13ae716841026ee760704bb0d99ee" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9a5551" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f997d88" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f98872f" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f976b14" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f97eeaa" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f979609" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9b1c77" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f983809" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f95a0fb" "form.family_planning_group.counsel_disqualification" 0
"70c6ba6f55ed21716fe725c21469a1e0" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9a6042" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9917a0" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f95dbc7" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9735c8" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f97478a" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f97cef7" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f956856" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f96ef9f" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f94f406" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f95f7a6" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9b323a" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9a3e49" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f975e5c" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f9a94f7" "form.family_planning_group.counsel_disqualification" 0
"89fda0284e008d2e0c980fb13f97e56a" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f96a8a3" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f992222" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f98af77" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f99a592" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9623b3" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f976515" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f989136" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9aa5ec" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f999c89" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95f2b4" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f957a1e" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9b46eb" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9866e8" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f99f8e5" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f987d0e" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9ac931" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95205a" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95fe45" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f966efc" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f994cf8" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f964e6a" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9628e2" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f96442a" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f99d8c6" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f96372c" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f99a86d" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f98c6e0" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95d481" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f98a6d5" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f98317d" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9a7b0c" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9b3322" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f969126" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95e9b4" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f980116" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f958239" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95477d" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f97722c" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f97ae9f" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9a51a9" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9b3f75" "form.bp2.not_yet_maternal_emergency_number" 0
"fcd13ae716841026ee760704bb0d99ee" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9a5551" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f997d88" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f98872f" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f976b14" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f97eeaa" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f979609" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9b1c77" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f983809" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95a0fb" "form.bp2.not_yet_maternal_emergency_number" 0
"70c6ba6f55ed21716fe725c21469a1e0" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9a6042" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9917a0" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95dbc7" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9735c8" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f97478a" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f97cef7" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f956856" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f96ef9f" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f94f406" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f95f7a6" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9b323a" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9a3e49" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f975e5c" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f9a94f7" "form.bp2.not_yet_maternal_emergency_number" 0
"89fda0284e008d2e0c980fb13f97e56a" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f96a8a3" "form.bp2.play_birth_preparedness_vid" 0.00567162459577076
"89fda0284e008d2e0c980fb13f992222" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f98af77" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f99a592" "form.bp2.play_birth_preparedness_vid" 0.00111763547368357
"89fda0284e008d2e0c980fb13f9623b3" "form.bp2.play_birth_preparedness_vid" 0.0109695607491849
"89fda0284e008d2e0c980fb13f976515" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f989136" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f9aa5ec" "form.bp2.play_birth_preparedness_vid" 0.00329159577517816
"89fda0284e008d2e0c980fb13f999c89" "form.bp2.play_birth_preparedness_vid" 0.0147135565761506
"89fda0284e008d2e0c980fb13f95f2b4" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f957a1e" "form.bp2.play_birth_preparedness_vid" 0.107484863392363
"89fda0284e008d2e0c980fb13f9b46eb" "form.bp2.play_birth_preparedness_vid" 0.0222120434346429
"89fda0284e008d2e0c980fb13f9866e8" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f99f8e5" "form.bp2.play_birth_preparedness_vid" 0.00111763547368357
"89fda0284e008d2e0c980fb13f987d0e" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f9ac931" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f95205a" "form.bp2.play_birth_preparedness_vid" 0.0147135565761506
"89fda0284e008d2e0c980fb13f95fe45" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f966efc" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f994cf8" "form.bp2.play_birth_preparedness_vid" 0.0302063269245668
"89fda0284e008d2e0c980fb13f964e6a" "form.bp2.play_birth_preparedness_vid" 0.00111763547368357
"89fda0284e008d2e0c980fb13f9628e2" "form.bp2.play_birth_preparedness_vid" 0.00534898497198741
"89fda0284e008d2e0c980fb13f96442a" "form.bp2.play_birth_preparedness_vid" 0.00567162459577076
"89fda0284e008d2e0c980fb13f99d8c6" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f96372c" "form.bp2.play_birth_preparedness_vid" 0.0187998741204027
"89fda0284e008d2e0c980fb13f99a86d" "form.bp2.play_birth_preparedness_vid" 0.0187998741204027
"89fda0284e008d2e0c980fb13f98c6e0" "form.bp2.play_birth_preparedness_vid" 0.00567162459577076
"89fda0284e008d2e0c980fb13f95d481" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f98a6d5" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f98317d" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f9a7b0c" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f9b3322" "form.bp2.play_birth_preparedness_vid" 0.00217690853362258
"89fda0284e008d2e0c980fb13f969126" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f95e9b4" "form.bp2.play_birth_preparedness_vid" 0.00567162459577076
"89fda0284e008d2e0c980fb13f980116" "form.bp2.play_birth_preparedness_vid" 0.00534898497198741
"89fda0284e008d2e0c980fb13f958239" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f95477d" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f97722c" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f97ae9f" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f9a51a9" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f9b3f75" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"fcd13ae716841026ee760704bb0d99ee" "form.bp2.play_birth_preparedness_vid" 0.0147135565761506
"89fda0284e008d2e0c980fb13f9a5551" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f997d88" "form.bp2.play_birth_preparedness_vid" 0.00567162459577076
"89fda0284e008d2e0c980fb13f98872f" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f976b14" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f97eeaa" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f979609" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f9b1c77" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f983809" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f95a0fb" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"70c6ba6f55ed21716fe725c21469a1e0" "form.bp2.play_birth_preparedness_vid" 0.00567162459577076
"89fda0284e008d2e0c980fb13f9a6042" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f9917a0" "form.bp2.play_birth_preparedness_vid" 0.0192331948408511
"89fda0284e008d2e0c980fb13f95dbc7" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f9735c8" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f97478a" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f97cef7" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f956856" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f96ef9f" "form.bp2.play_birth_preparedness_vid" 0.00567162459577076
"89fda0284e008d2e0c980fb13f94f406" "form.bp2.play_birth_preparedness_vid" 0.0109695607491849
"89fda0284e008d2e0c980fb13f95f7a6" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f9b323a" "form.bp2.play_birth_preparedness_vid" 0.0125457830051543
"89fda0284e008d2e0c980fb13f9a3e49" "form.bp2.play_birth_preparedness_vid" 0.00943288502102422
"89fda0284e008d2e0c980fb13f975e5c" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f9a94f7" "form.bp2.play_birth_preparedness_vid" 0.00442596319679237
"89fda0284e008d2e0c980fb13f97e56a" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f96a8a3" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f992222" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f98af77" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f99a592" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f9623b3" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f976515" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f989136" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9aa5ec" "form.bp1.anc4_details" 0.00237727418111267
"89fda0284e008d2e0c980fb13f999c89" "form.bp1.anc4_details" 0.000272926308571286
"89fda0284e008d2e0c980fb13f95f2b4" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f957a1e" "form.bp1.anc4_details" 0.000398097495722733
"89fda0284e008d2e0c980fb13f9b46eb" "form.bp1.anc4_details" 0.00304267745286026
"89fda0284e008d2e0c980fb13f9866e8" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f99f8e5" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f987d0e" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f9ac931" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f95205a" "form.bp1.anc4_details" 0.000272926308571286
"89fda0284e008d2e0c980fb13f95fe45" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f966efc" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f994cf8" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f964e6a" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f9628e2" "form.bp1.anc4_details" 0.000272926308571286
"89fda0284e008d2e0c980fb13f96442a" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f99d8c6" "form.bp1.anc4_details" 0.00799464673818565
"89fda0284e008d2e0c980fb13f96372c" "form.bp1.anc4_details" 0.000318446151672599
"89fda0284e008d2e0c980fb13f99a86d" "form.bp1.anc4_details" 0.000318446151672599
"89fda0284e008d2e0c980fb13f98c6e0" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f95d481" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f98a6d5" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f98317d" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f9a7b0c" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f9b3322" "form.bp1.anc4_details" 0.000318446151672599
"89fda0284e008d2e0c980fb13f969126" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f95e9b4" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f980116" "form.bp1.anc4_details" 0.000272926308571286
"89fda0284e008d2e0c980fb13f958239" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f95477d" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f97722c" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f97ae9f" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9a51a9" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9b3f75" "form.bp1.anc4_details" 0.000153678034404931
"fcd13ae716841026ee760704bb0d99ee" "form.bp1.anc4_details" 0.000272926308571286
"89fda0284e008d2e0c980fb13f9a5551" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f997d88" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f98872f" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f976b14" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f97eeaa" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f979609" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9b1c77" "form.bp1.anc4_details" 0.00824268802949359
"89fda0284e008d2e0c980fb13f983809" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f95a0fb" "form.bp1.anc4_details" 0.000153678034404931
"70c6ba6f55ed21716fe725c21469a1e0" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f9a6042" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9917a0" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f95dbc7" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9735c8" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f97478a" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f97cef7" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f956856" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f96ef9f" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f94f406" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f95f7a6" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9b323a" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9a3e49" "form.bp1.anc4_details" 0.000220480998187865
"89fda0284e008d2e0c980fb13f975e5c" "form.bp1.anc4_details" 0.000153678034404931
"89fda0284e008d2e0c980fb13f9a94f7" "form.bp1.anc4_details" 0.00799464673818565
"89fda0284e008d2e0c980fb13f97e56a" "form.family_planning_group.counsel_nearest" 0
"89fda0284e008d2e0c980fb13f96a8a3" "form.family_planning_group.counsel_nearest" 0
"89fda0284e008d2e0c980fb13f992222" "form.family_planning_group.counsel_nearest" 0
"89fda0284e008d2e0c980fb13f98af77" "form.family_planning_group.counsel_nearest" 0
"89fda0284e008d2e0c980fb13f99a592" "form.family_planning_group.counsel_nearest" 0
